Company Name,Symbol
Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL
Agriculture Development Bank Limited,ADBL
Arun Valley Hydropower Development Co. Ltd.,AHPC
Ajod Insurance Limited,AIL
Ankhu Khola Jalvidhyut Company Ltd,AKJCL
Arun Kabeli Power Ltd.,AKPL
Asha Laghubitta Bittiya Sanstha Ltd,ALBSL
Asian Life Insurance Co. Limited,ALICL
Api Power Company Ltd.,API
Barun Hydropower Co. Ltd.,BARUN
Best Finance Company Ltd.,BFC
Bottlers Nepal (Balaju) Limited,BNL
Bottlers Nepal (Terai) Limited,BNT
Bank of Kathmandu Ltd.,BOKL
Butwal Power Company Limited,BPCL
Chhimek Laghubitta Bikas Bank Limited,CBBL
Civil Bank Ltd,CBL
Century Commercial Bank Ltd.,CCBL
Central Finance Co. Ltd.,CFCL
Chandragiri Hills Limited,CGH
Chilime Hydropower Company Limited,CHCL
Chhyangdi Hydropower Ltd.,CHL
Citizen Investment Trust,CIT
Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL
Corporate Development Bank Limited,CORBL
Citizen Bank International Limited,CZBIL
Deprosc Laghubitta Bittiya Sanstha Limited,DDBL
Dibyashwori Hydropower Ltd.,DHPL
Everest Bank Limited,EBL
Excel Development Bank Ltd.,EDBL
Everest Insurance Co. Ltd.,EIC
First Micro Finance Development Bank Ltd.,FMDBL
Forward Community Microfinance Bittiya Sanstha Ltd.,FOWAD
Garima Bikas Bank Limited,GBBL
Global IME Bank Limited,GBIME
Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS
Goodwill Finance Co. Ltd.,GFCL
Ghalemdi Hydro Limited,GHL
General Insurance Company Nepal Ltd,GIC
Global IME Laghubitta Bittiya Sanstha Ltd.,GILB
Gurans Laghubitta Bittiya Sanstha Limited,GLBSL
GreenLife Hydropower Limited,GLH
Gurans Life Insurance Company Ltd.,GLICL
Ganapati Microfinance Bittiya Sanstha Limited,GMFBS
Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL
Green Development Bank Ltd.,GRDBL
Gurkhas Finance Ltd.,GUFL
Himalayan Bank Limited,HBL
Himal Dolakha Hydropower Company Limited,HDHPC
Himalayan Distillery Limited,HDL
Himalayan General Insurance Co. Ltd,HGI
Hydorelectricity Investment and Development Company Ltd,HIDCL
Himalayan Power Partner Ltd.,HPPL
Himalaya Urja Bikas Company Limited,HURJA
ICFC Finance Limited,ICFC
IME General Insurance Ltd.,IGI
Infinity Laghubitta Bittiya Sanstha Limited,ILBS
Jyoti Bikas Bank Limited,JBBL
Janaki Finance Ltd.,JFL
Joshi Hydropower Development Company Ltd,JOSHI
Janautthan Samudayic Laghubitta Bikas Bank Ltd.,JSLBB
Kumari Bank Limited,KBL
Khanikhola Hydropower Co. Ltd.,KKHC
Kalika Microcredit Development Bank Ltd.,KMCDB
Kalika power Company Ltd,KPCL
Karnali Development Bank Limited,KRBL
Kamana Sewa Bikas Bank Limited,KSBBL
Lumbini Bikas Bank Ltd.,LBBL
Laxmi Bank Limited,LBL
Liberty Energy Company Limited,LEC
Lumbini General Insurance Co. Ltd.,LGIL
Life Insurance Co. Nepal,LICN
Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS
Machhapuchhre Bank Limited,MBL
Miteri Development Bank Limited,MDB
Mega Bank Nepal Ltd.,MEGA
Mountain Energy Nepal Limited,MEN
Mero Microfinance Bittiya Sanstha Ltd.,MERO
Manjushree Finance Ltd.,MFIL
Mountain Hydro Nepal Limited,MHNL
Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL
Mahalaxmi Bikas Bank Ltd.,MLBL
Mahila Lagubitta Bittiya Sanstha Limited,MLBSL
Mirmire Microfinance Development Bank Ltd.,MMFDB
Muktinath Bikas Bank Ltd.,MNBBL
Multipurpose Finance Company Limited,MPFL
Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,MSLB
Narayani Development Bank Limited,NABBC
Nabil Bank Limited,NABIL
Nepal Bangladesh Bank Limited,NBB
Nepal Bank Limited,NBL
Nepal Credit And Commercial Bank Limited,NCCB
Nepal Finance Ltd.,NFS
Ngadi Group Power Ltd.,NGPL
Nepal Hydro Developers Ltd.,NHDL
National Hydro Power Company Limited,NHPC
Nepal Investment Bank Limited,NIB
NIC Asia Bank Ltd.,NICA
Nepal Insurance Co. Ltd.,NICL
Nepal Infrastructure Bank Limited,NIFRA
Neco Insurance Co. Ltd.,NIL
Nerude Laghubita Bikas Bank Limited,NLBBL
NLG Insurance Company Ltd.,NLG
Nepal Life Insurance Co. Ltd.,NLIC
National Life Insurance Co. Ltd.,NLICL
Nepal Lube Oil Limited,NLO
NMB Bank Limited,NMB
NMB Microfinance Bittiya Sanstha Ltd.,NMBMF
National Microfinance Bittiya Sanstha Ltd.,NMFBS
Nepal Reinsurance Company Limited,NRIC
NRN Infrastructure and Development Limited,NRN
Nepal Doorsanchar Comapany Limited,NTC
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL
Oriental Hotels Limited,OHL
Prime Commercial Bank Ltd.,PCBL
Pokhara Finance Ltd.,PFL
Premier Insurance Co. Ltd.,PIC
Prudential Insurance Co. Ltd.,PICL
Prabhu Life Insurance Limited,PLI
Prime Life Insurance Company Limited,PLIC
Panchakanya Mai Hydropower Ltd,PMHPL
Panchthar Power Compant Limited,PPCL
Prabhu Insurance Ltd.,PRIN
ProgressiveFinance Limited,PROFL
Prabhu Bank Limited,PRVU
Radhi Bidyut Company Ltd,RADHI
Rastriya Beema Company Limited,RBCL
Ridi Hydropower Development Company Ltd.,RHPC
RASUWAGADHI HYDROPOWER COMPANY LIMITED,RHPL
Reliance Finance Ltd.,RLFL
Reliance Life Insurance Limited,RLI
RMDC Laghubitta Bittiya Sanstha Ltd.,RMDC
Rairang Hydropower Development Company Ltd.,RRHP
RSDC Laghubitta Bittiya Sanstha Ltd.,RSDC
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,SABSL
Shangrila Development Bank Ltd.,SADBL
Sanima Bank Limited,SANIMA
Saptakoshi Development Bank Ltd,SAPDBL
Nepal SBI Bank Limited,SBI
Siddhartha Bank Limited,SBL
Standard Chartered Bank Limited,SCB
Sadhana Laghubitta Bittiya Sanstha Limited,SDLBSL
Samriddhi Finance Company Limited,SFCL
Sanima General Insurance Limited,SGI
Shine Resunga Development Bank Ltd.,SHINE
SHIVAM CEMENTS LTD,SHIVM
Soaltee Hotel Limited,SHL
Sanima Mai Hydropower Ltd.,SHPC
Sagarmatha Insurance Co. Ltd.,SIC
Shikhar Insurance Co. Ltd.,SICL
Shree Investment Finance Co. Ltd.,SIFC
Siddhartha Insurance Ltd.,SIL
Sindhu Bikash Bank Ltd,SINDU
SANJEN JALAVIDHYUT COMPANY LIMITED,SJCL
Sana Kisan Bikas Bank Ltd,SKBBL
Swarojgar Laghu Bitta Bikas Bank Ltd.,SLBBL
Suryodaya Laghubitta Bittiya Sanstha Ltd.,SLBS
Samudayik Laghubitta Bittiya Sanstha Limited,SLBSL
Surya Life Insurance Company Limited,SLICL
Support Microfinance Bittiya Sanstha Ltd.,SMB
Swabhimaan Laghubitta Bittiya Sanstha Limited,SMFBS
Summit Laghubitta Bittiya Sanstha Limited,SMFDB
Sarathi Nepal Laghubitta Bittiya Sanstha Limited,SNLB
Synergy Power Development Ltd.,SPDL
Sunrise Bank Limited,SRBL
Shiva Shree Hydropower Ltd,SSHL
Salt Trading Corporation,STC
Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL
Taragaon Regency Hotel Limited,TRH
United Finance Ltd.,UFL
United Insurance Co. (Nepal) Ltd.,UIC
United Modi Hydropower Ltd.,UMHL
United IDI Mardi RB Hydropower Limited.,UMRH
Union Hydropower Limited,UNHPL
Unilever Nepal Limited,UNL
UNIVERSAL POWER COMPANY LTD,UPCL
Upper Tamakoshi Hydropower Ltd,UPPER
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,USLB
Vijaya laghubitta Bittiya Sanstha Ltd.,VLBS
Womi Microfinance Bittiya Sanstha Ltd.,WOMI
